MST weight is : 26938
All the edges
84 166 1
3 75 4
61 110 4
21 80 6
12 111 7
47 70 7
91 176 7
143 149 9
85 121 10
23 72 11
35 62 11
20 28 12
17 147 13
6 154 15
53 77 15
44 50 17
18 58 21
153 176 22
50 80 23
7 64 25
38 73 26
45 58 26
55 141 27
115 170 28
70 97 31
121 183 36
19 171 39
109 136 39
133 140 41
28 135 42
24 47 45
40 134 45
10 70 47
72 128 48
121 159 50
42 174 51
0 141 53
5 110 54
20 120 54
21 112 54
37 61 54
87 117 54
116 141 55
127 181 56
16 164 57
35 183 57
1 159 59
22 129 59
135 145 60
29 38 62
95 172 65
122 147 66
15 108 70
16 81 70
122 128 70
65 115 71
9 148 72
46 122 77
124 160 78
86 180 79
106 172 80
66 106 81
79 109 82
31 182 84
81 107 86
123 149 88
140 157 88
20 157 89
79 86 89
140 178 89
61 163 90
35 175 91
9 172 92
61 150 95
142 160 95
61 125 96
76 130 99
97 159 99
108 114 100
131 184 100
26 48 102
9 72 103
9 185 103
55 81 104
39 148 105
75 111 105
137 146 105
30 53 107
78 175 109
133 153 114
154 158 115
24 106 120
74 173 121
124 171 123
22 94 125
25 51 127
10 92 129
111 183 129
14 118 135
70 93 137
68 186 138
173 181 138
137 155 140
81 138 143
125 148 143
126 138 144
55 71 147
89 127 150
31 108 152
102 137 152
3 29 154
15 40 154
56 155 155
72 77 156
124 153 156
77 98 159
6 96 160
106 179 160
0 140 162
45 167 163
68 97 163
52 100 166
78 101 166
81 143 166
184 186 167
2 155 169
137 140 173
53 178 179
113 127 183
70 182 184
45 173 185
3 21 187
8 73 187
33 47 188
140 168 190
4 107 191
76 162 193
60 185 194
103 154 194
0 129 198
13 67 199
45 105 204
65 180 205
61 169 207
4 43 210
67 160 211
19 104 212
103 163 214
5 82 217
89 118 217
1 25 218
59 84 220
11 92 222
23 132 222
8 166 223
62 64 228
27 145 229
26 153 230
167 183 230
58 130 233
56 144 238
63 132 251
50 152 259
55 136 263
52 103 268
167 177 268
174 182 273
16 139 285
41 133 301
36 39 314
23 69 316
117 151 318
34 71 324
80 88 330
87 118 333
119 152 350
156 167 364
71 165 385
90 103 401
57 157 403
83 154 428
161 168 438
39 54 463
57 99 572
32 41 642
7 49 653
