Execution time : 8.040 s

MST weight is : 11930
All the edges
160 165 1
73 151 2
77 92 2
125 168 2
15 81 3
64 134 4
61 64 6
79 91 7
15 38 8
16 100 8
45 199 8
122 146 8
3 203 9
97 109 9
60 200 10
2 5 11
16 206 11
23 175 11
59 108 11
135 159 11
147 193 11
17 176 12
49 59 12
69 108 12
87 177 12
27 117 13
62 67 13
88 198 16
105 146 16
116 117 16
64 69 17
126 187 17
127 194 17
22 114 18
35 68 18
127 195 19
186 187 20
3 206 21
39 173 21
2 24 23
48 86 23
52 129 23
154 176 23
21 53 24
64 68 24
49 104 25
10 190 26
57 63 26
158 165 26
58 79 27
23 94 28
126 183 28
44 158 29
101 162 29
22 120 30
32 141 30
57 206 30
49 66 31
78 139 31
134 199 31
10 128 32
101 184 32
125 167 32
84 111 34
93 191 34
46 179 35
108 173 35
139 170 36
51 200 37
159 181 37
13 93 39
29 193 39
140 197 40
96 198 41
152 160 41
15 119 42
61 137 42
75 159 42
39 146 43
21 101 44
25 190 44
124 133 44
3 21 45
38 201 45
57 139 45
22 177 46
96 168 46
168 187 46
205 206 46
9 133 47
32 156 47
46 114 47
55 188 47
61 121 47
82 176 47
102 195 47
10 30 48
38 120 48
43 143 48
112 138 48
145 204 48
40 99 49
160 198 49
11 50 50
64 114 50
26 103 51
85 116 51
91 157 51
181 183 51
54 133 52
76 127 52
153 188 52
9 51 53
75 196 53
10 40 54
6 86 55
8 170 55
63 112 55
91 181 55
108 203 56
178 195 56
44 90 57
47 150 57
106 119 57
131 197 57
15 32 58
64 115 58
69 155 58
23 138 59
111 120 59
139 168 59
41 168 60
93 115 60
117 205 60
121 178 60
156 188 60
25 161 61
64 80 61
139 176 61
19 169 62
25 136 62
34 203 62
77 168 62
60 143 63
97 127 65
70 99 67
133 156 67
15 24 68
133 172 69
189 199 69
68 129 70
129 144 70
48 51 71
88 147 72
15 161 73
10 142 75
59 89 75
31 79 76
38 130 76
52 174 78
36 177 79
182 203 79
4 31 80
56 117 81
110 171 81
169 186 84
13 166 85
25 33 85
134 180 85
31 145 86
47 74 86
116 149 86
13 123 87
0 16 88
82 132 89
95 138 92
72 91 93
1 96 94
39 98 95
62 92 95
140 193 95
72 73 96
83 199 96
14 90 98
103 199 98
134 150 99
50 97 103
95 107 104
12 76 111
100 202 111
65 166 123
164 173 125
120 171 128
113 166 133
28 179 138
141 148 140
6 20 148
37 169 161
71 98 175
42 154 180
39 118 192
7 33 213
147 185 235
33 192 258
18 58 264
70 163 269
