Execution time : 1.730 s

MST weight is : 11964
All the edges
112 116 1
88 93 2
99 115 2
12 116 3
85 109 6
15 17 8
20 112 8
90 129 9
95 102 11
121 122 11
41 47 13
0 59 14
36 88 14
88 118 14
46 70 15
100 115 16
9 113 17
52 123 17
48 134 18
54 120 18
61 117 19
31 105 20
72 92 21
34 91 23
50 82 23
55 68 26
17 127 27
47 49 27
22 117 28
93 116 28
49 130 29
78 130 33
35 135 34
73 82 34
17 99 35
0 36 36
19 96 36
71 109 38
98 105 38
43 112 40
71 105 40
29 122 46
57 77 47
74 85 47
6 74 50
36 111 52
28 83 53
118 135 54
14 100 56
26 52 57
102 123 58
9 32 60
38 104 62
18 42 63
21 69 64
61 108 64
11 39 65
2 67 68
9 86 68
77 112 68
4 136 69
21 128 71
66 77 72
14 121 73
32 63 73
75 115 73
82 112 74
38 136 77
41 132 80
65 105 82
30 114 85
2 97 87
58 75 87
4 43 88
23 83 89
34 107 89
8 61 91
73 84 92
0 98 93
11 120 95
21 117 97
18 25 98
17 81 99
84 89 102
53 92 104
60 116 104
8 91 106
45 126 106
3 100 107
1 81 108
73 121 109
68 87 113
48 51 114
13 83 115
16 96 115
124 131 115
2 124 116
53 78 117
47 71 119
80 123 119
114 122 125
5 86 126
87 114 130
6 108 131
25 40 131
68 83 131
7 11 133
102 117 133
56 67 134
77 113 134
12 25 138
2 79 139
103 114 141
9 96 142
44 96 144
37 100 146
56 73 147
36 64 149
12 134 151
117 126 151
1 33 152
75 129 154
119 132 160
7 90 175
46 92 176
110 115 176
27 47 196
83 133 201
8 106 207
89 125 220
1 24 228
94 116 233
76 114 239
83 101 300
10 24 301
50 62 313
